,updrs,param,val,auc,acc,prec,recall
0,updrs_2,tree_learner,serial,0.7020398566950291,0.6184885290148447,0.40735061040908116,0.8836363636363636
1,updrs_2,tree_learner,feature,0.7020398566950291,0.6184885290148447,0.40735061040908116,0.8836363636363636
2,updrs_2,tree_learner,data,0.7020398566950291,0.6184885290148447,0.40735061040908116,0.8836363636363636
3,updrs_2,tree_learner,voting,0.7020398566950291,0.6184885290148447,0.40735061040908116,0.8836363636363636
4,updrs_2,boosting,gbdt,0.7020398566950291,0.6184885290148447,0.40735061040908116,0.8836363636363636
5,updrs_2,boosting,dart,0.7020398566950291,0.6184885290148447,0.40735061040908116,0.8836363636363636
6,updrs_2,feature_fraction,0.4,0.6409807433945365,0.5668016194331983,0.35993206404316636,0.8036363636363637
7,updrs_2,feature_fraction,0.6,0.7020398566950291,0.6184885290148447,0.40735061040908116,0.8836363636363636
8,updrs_2,feature_fraction,0.8,0.7020398566950291,0.6184885290148447,0.40735061040908116,0.8836363636363636
9,updrs_2,feature_fraction,1.0,0.7020398566950291,0.6184885290148447,0.40735061040908116,0.8836363636363636
10,updrs_2,is_unbalance,True,0.6065606806986118,0.6238866396761134,0.3764932835926751,0.5727272727272728
11,updrs_2,is_unbalance,False,0.7020398566950291,0.6184885290148447,0.40735061040908116,0.8836363636363636
12,updrs_2,min_data_in_leaf,10,0.7020398566950291,0.6184885290148447,0.40735061040908116,0.8836363636363636
13,updrs_2,min_data_in_leaf,20,0.7020398566950291,0.6184885290148447,0.40735061040908116,0.8836363636363636
14,updrs_2,min_data_in_leaf,30,0.7020398566950291,0.6184885290148447,0.40735061040908116,0.8836363636363636
15,updrs_2,min_data_in_leaf,40,0.6516950291088222,0.5825910931174089,0.36945587356697585,0.8036363636363637
16,updrs_2,min_data_in_leaf,50,0.7020398566950291,0.6184885290148447,0.40735061040908116,0.8836363636363636
17,updrs_2,max_depth,1,0.7020398566950291,0.6184885290148447,0.40735061040908116,0.8836363636363636
18,updrs_2,max_depth,5,0.7020398566950291,0.6184885290148447,0.40735061040908116,0.8836363636363636
19,updrs_2,max_depth,10,0.7020398566950291,0.6184885290148447,0.40735061040908116,0.8836363636363636
20,updrs_2,max_depth,15,0.7020398566950291,0.6184885290148447,0.40735061040908116,0.8836363636363636
21,updrs_2,max_depth,20,0.7020398566950291,0.6184885290148447,0.40735061040908116,0.8836363636363636
