,updrs,param,val,auc,acc,prec,recall
0,updrs_1,max_delta_step,1,0.5781904761904763,0.654251012145749,0.5511111111111111,0.27904761904761904
1,updrs_1,max_delta_step,3,0.567047619047619,0.6439946018893388,0.5311111111111112,0.26476190476190475
2,updrs_1,max_delta_step,5,0.567047619047619,0.6439946018893388,0.5311111111111112,0.26476190476190475
3,updrs_1,max_delta_step,7,0.567047619047619,0.6439946018893388,0.5311111111111112,0.26476190476190475
4,updrs_1,max_delta_step,9,0.567047619047619,0.6439946018893388,0.5311111111111112,0.26476190476190475
5,updrs_1,scale_pos_weight,1.1,0.5683809523809524,0.6491228070175439,0.5468253968253969,0.25142857142857145
6,updrs_1,scale_pos_weight,1.3,0.5513571428571428,0.6236167341430499,0.505,0.2657142857142857
7,updrs_1,scale_pos_weight,1.7,0.5351666666666667,0.5927125506072876,0.4284090909090909,0.30666666666666664
8,updrs_1,scale_pos_weight,2,0.524904761904762,0.5620782726045884,0.40283208020050126,0.3771428571428571
9,updrs_1,scale_pos_weight,2.3,0.5251904761904761,0.5518218623481781,0.40309523809523806,0.41904761904761906
10,updrs_1,subsample,0.3,0.5487857142857143,0.6492577597840755,0.6466666666666667,0.15523809523809523
11,updrs_1,subsample,0.5,0.5529285714285714,0.6438596491228071,0.4990476190476191,0.1961904761904762
12,updrs_1,subsample,0.7,0.5657142857142857,0.6489878542510122,0.5433333333333333,0.23809523809523808
13,updrs_1,subsample,0.9,0.5578809523809524,0.6390013495276653,0.5322222222222222,0.23809523809523805
14,updrs_1,colsample_bytree,0.3,0.5369999999999999,0.6284750337381917,0.47833333333333333,0.18
15,updrs_1,colsample_bytree,0.5,0.5420952380952381,0.6234817813765182,0.475,0.2228571428571428
16,updrs_1,colsample_bytree,0.7,0.5727142857142857,0.654251012145749,0.5644444444444444,0.25142857142857145
17,updrs_1,colsample_bytree,0.9,0.5760714285714286,0.6593792172739541,0.5785714285714285,0.2504761904761904
