,updrs_1,updrs_2,updrs_3
colsample_bytree,0.9994339895225436,0.9723358597087077,0.5794273693429098
gamma,0.21828407303867597,0.10827971299590261,6.958373374993177e-05
learning_rate,0.8763564203413519,0.6503304038389104,0.7597417382901697
max_depth,6.0,8.0,8.0
min_child_weight,0.2925675445213144,7.076800505115973,0.6428495541542038
reg_alpha,6.803952572268468,2.5215977214254304,2.426225167246236
reg_lambda,1.2689093632909028,1.677159748913182,3.5040708421969304
subsample,0.5352418739052822,0.6828035084965419,0.6934802250073431
