,updrs_1,updrs_2,updrs_3
bagging_fraction,0.3979105490313782,0.5842399399881544,0.39704511288186484
bagging_freq,6.709060683301684,9.63151259610333,7.887125369846954
boosting,0.0,2.0,0.0
feature_fraction,0.8622667275698642,0.8432500142354663,0.8655094280992195
is_unbalance,0.0,0.0,0.0
lambda_l1,4.658812945986083,6.557770282797576,2.9083972263830695
lambda_l2,2.440111222999868,4.311875048618287,3.0755663095442554
learning_rate,0.509808229808024,0.13210217331264548,0.010848179336349902
max_delta_step,5.0,5.0,4.0
max_depth,18.0,1.0,13.0
min_data_in_leaf,29.0,24.0,24.0
tree_learner,1.0,3.0,0.0
