,updrs_1,updrs_2,updrs_3
bagging_temperature,4.429427339938372,4.095757640680914,1.1623592388074027
depth,7.0,6.0,4.0
l2_leaf_reg,5.641366638454,5.757077697096695,7.35671032601355
learning_rate,0.36678107947645694,0.9548361041944039,0.9738759584780804
min_data_in_leaf,8.0,8.0,4.0
