,updrs_1,updrs_2,updrs_3
colsample_bytree,0.5825913965503184,0.5348020886234701,0.9814083427273451
learning_rate,0.6577141319875366,0.15273119898178963,0.3690529874118197
max_depth,5.0,7.0,4.0
min_child_weight,1.3893377197890882,8.496093123723053,0.7166612125791825
min_split_gain,0.0012986100523735963,7.563070066811084e-05,0.0002542563833103178
reg_alpha,7.84789041763128,3.2423247022405386,1.4265638487613121
reg_lambda,5.143445719389354,1.8995084845739274,9.592843302090284
subsample,0.7548022099472674,0.5206085732201925,0.672933792104963
