,updrs_1,updrs_2,updrs_3
colsample_bytree,0.7491184900828957,0.9812688346568473,0.6462101189038008
gamma,5.9453777727201306e-05,0.5204151836705583,0.00016255563691230793
learning_rate,0.8665156680046304,0.98469336628429,0.27676980011593927
max_depth,2.0,3.0,7.0
min_child_weight,0.7741677473528584,0.4585467488098114,4.68862775729557
reg_alpha,2.8313016754931226,9.096653704261152,3.1450702119215213
reg_lambda,5.919206646525912,7.800435676418272,7.799433621322518
subsample,0.9352971990968828,0.5382691552766452,0.6199305683849978
