,updrs,param,val,auc,acc,prec,recall
0,updrs_3,tree_learner,serial,0.502923076923077,0.5775978407557355,0.3318903318903319,0.27692307692307694
1,updrs_3,tree_learner,feature,0.502923076923077,0.5775978407557355,0.3318903318903319,0.27692307692307694
2,updrs_3,tree_learner,data,0.502923076923077,0.5775978407557355,0.3318903318903319,0.27692307692307694
3,updrs_3,tree_learner,voting,0.502923076923077,0.5775978407557355,0.3318903318903319,0.27692307692307694
4,updrs_3,boosting,gbdt,0.502923076923077,0.5775978407557355,0.3318903318903319,0.27692307692307694
5,updrs_3,boosting,dart,0.4913846153846154,0.5978407557354926,0.3073809523809524,0.16923076923076924
6,updrs_3,feature_fraction,0.4,0.4832307692307693,0.551417004048583,0.314996114996115,0.27692307692307694
7,updrs_3,feature_fraction,0.6,0.5107692307692308,0.608502024291498,0.3515079365079365,0.21538461538461537
8,updrs_3,feature_fraction,0.8,0.5221538461538462,0.6183535762483131,0.396031746031746,0.23076923076923078
9,updrs_3,feature_fraction,1.0,0.4950769230769231,0.6026990553306343,0.3453968253968254,0.16923076923076924
10,updrs_3,is_unbalance,True,0.560923076923077,0.6291497975708502,0.44153846153846155,0.35384615384615387
11,updrs_3,is_unbalance,False,0.502923076923077,0.5775978407557355,0.3318903318903319,0.27692307692307694
12,updrs_3,min_data_in_leaf,10,0.502923076923077,0.5775978407557355,0.3318903318903319,0.27692307692307694
13,updrs_3,min_data_in_leaf,20,0.502923076923077,0.5775978407557355,0.3318903318903319,0.27692307692307694
14,updrs_3,min_data_in_leaf,30,0.522,0.602834008097166,0.3524242424242424,0.27692307692307694
15,updrs_3,min_data_in_leaf,40,0.46015384615384625,0.5561403508771929,0.2644444444444445,0.16923076923076924
16,updrs_3,min_data_in_leaf,50,0.48369230769230764,0.5877192982456141,0.2882539682539682,0.16923076923076924
17,updrs_3,max_depth,1,0.4950769230769231,0.6029689608636978,0.3146320346320346,0.16923076923076924
18,updrs_3,max_depth,5,0.502923076923077,0.5775978407557355,0.3318903318903319,0.27692307692307694
19,updrs_3,max_depth,10,0.502923076923077,0.5775978407557355,0.3318903318903319,0.27692307692307694
20,updrs_3,max_depth,15,0.502923076923077,0.5775978407557355,0.3318903318903319,0.27692307692307694
21,updrs_3,max_depth,20,0.502923076923077,0.5775978407557355,0.3318903318903319,0.27692307692307694
