,0
Q14515_Q9UBX5,0.040138446
P01608_Q7Z3B1,0.039673228
P01033_Q99829,0.037988286
Q6UX71_Q92876,0.03228233
P06454_Q8IWV7,0.028038511
P01833,0.026668198
O14791_P16152,0.025765125
P10643_P23142,0.02480737
O14498_P10645,0.023167409
P02675_Q9HDC9,0.02166842
P02753_Q9UBR2,0.019194104
P40925_Q92823,0.018249605
P01876_P02671,0.017954085
P01033_P07998,0.017663475
P01834_P31997,0.017439298
Q9BY67_Q9Y6R7,0.017348625
Q8IWV7_Q9Y646,0.017110657
O75144_P02649,0.016959228
P04211,0.015707329
P23083_Q99832,0.013313556
P01780_P02656,0.012352647
P00751_P61769,0.011485799
P01621_Q12841,0.011465182
P02656_Q9UKV8,0.010611179
P05408_P25311,0.010432928
P16152_Q9Y646,0.010274979
O00391_Q6UXD5,0.0095855445
P02747_Q8NBJ4,0.009239318
P04211_Q13449,0.0091700265
P06727_Q14624,0.00903296
P02452_Q92876,0.008994867
P19652_P49588,0.008974576
P02751_Q92876,0.008888289
P01011_P04196,0.008852297
O00533_P07998,0.008673953
P00738_P02750,0.008191838
P01860_P02763,0.008099288
Q12907_Q9UBX5,0.007712351
P31997_Q6UXD5,0.0074469647
Q6UX71_Q8NBJ4,0.007202232
P01008_P08493,0.0068622655
P00746_Q13451,0.0068325475
P05155_Q96S96,0.006778887
P04275_P07225,0.0064561083
P16870_Q13740,0.006396035
Q9HDC9,0.0062151817
P02656_Q12841,0.006083189
P02747_P16152,0.0060088285
P02747_Q12907,0.0057093943
P01024_P12109,0.005692117
P61626_Q15904,0.0056509967
P36955_Q562R1,0.0055587594
O43505,0.005222334
P02655_Q99829,0.0051806765
O75326_P04180,0.0050676484
O43505_P14618,0.00486414
P13473_Q9UBX5,0.0045554424
P00748_P08123,0.004270697
P01877_P02787,0.004225452
P02748_P04004,0.004205213
P01011_P49908,0.004200723
P09104,0.004198514
P00736_Q96S96,0.0041376892
P20933_Q96PD5,0.0040472783
P19827_Q8NBJ4,0.0040218825
P08133_Q8N2S1,0.003983802
P05452_Q96BZ4,0.0038921407
P00748_P41222,0.0038263781
P08253_P14618,0.0037485026
P04180_Q96KN2,0.0035971534
P13611,0.003577012
O00391_P06681,0.0033896056
P00738_Q96BZ4,0.0033570938
P08123_P13671,0.0033503913
P06681_Q96S96,0.0033265613
P05546_P20774,0.0032999618
O15240_P55290,0.0032924644
P00746_P09104,0.0032775474
O00533_P05408,0.0032412314
P02765_P04196,0.0031668905
O75144_P10643,0.0030805566
P04275_P11142,0.0030431198
P20774_Q8IWV7,0.0030176095
P06681_P13591,0.0028762803
P01860_P06681,0.0028083432
O15240_P11277,0.002750131
P01033_Q06481,0.0026708252
O00584,0.002592741
P01877_P04156,0.0025901
P01860_P08603,0.0024686775
O75144_Q9HDC9,0.0024405161
Q14624_Q96PD5,0.0024052116
P16870_P23083,0.0023761478
P55290_P98160,0.0023482046
P01833_P14618,0.0022128392
P02675_Q7Z5P9,0.0022109728
P08493_P14314,0.0021660838
O00391_P01876,0.0021232748
P01034_P07333,0.0020242278
O14773_P35542,0.0020220496
P36222_Q9UBX5,0.0020162866
P00450_P01717,0.0020038
P40925_Q99674,0.0018278777
P04004_P16870,0.0018215341
P00751,0.001813144
P01780,0.0017968474
O00533_P43251,0.0017693295
P01877_P06727,0.0017489931
O94919_P01877,0.0017271593
O15240_P02753,0.0016436428
P17174_Q92520,0.0016002968
P08294_P19021,0.0015344945
P06310_P06681,0.0015012638
P00450_P01591,0.0014996768
P05155_Q12907,0.0014953375
P27169_Q9Y6R7,0.0014325489
O60888_P05546,0.0014256389
P06681_Q02818,0.00134786
P01876_Q8NE71,0.0013274583
P08294_P09486,0.0013221347
P00734_Q562R1,0.0013109378
P17936_Q16270,0.0013052361
P06454_P08123,0.0012939281
P01859_P04180,0.001269959
P35542_Q9Y6R7,0.0012411897
P06310_P20933,0.0012194143
P05090_P10643,0.0012127814
O15240_P07711,0.0012116483
P02766_P27169,0.0011636637
P02749_P08493,0.0011451453
O94919_Q92876,0.0011038278
O14791_P00748,0.0010826744
P01591_Q14508,0.0010731816
O14498_O15240,0.0010710255
P06454_P36222,0.0010566198
P01024,0.0009748953
O00533_Q92520,0.000967811
O75144_Q12841,0.0009617656
P02452_P32754,0.00094308425
P41222_Q6UXD5,0.0009424983
P19827_Q96BZ4,0.0009296717
P08493_P08603,0.00090304064
P01833_Q9Y6R7,0.00087896135
P01621_Q9Y6R7,0.0008692832
P08253_Q6UXB8,0.0008278489
P11142_Q99832,0.0008189465
P40925_Q08380,0.0008042799
P01344_P04433,0.0007949364
P02652_P04211,0.00075318
P07602_P08253,0.0007466347
P01033_P19827,0.0007290878
P00441_Q9Y6R7,0.0006946012
P09104_P61278,0.000690964
P06727_Q14118,0.0006842993
P02774_P13611,0.0006789307
O94919,0.00066689
P02763_P08493,0.00064595125
P06310_P17936,0.00063852017
P01019_Q15904,0.00061317586
P00751_P61278,0.0006110392
P06454_Q14508,0.00059877656
P01594_P04211,0.0005963986
P01608_Q8IWV7,0.0005817948
O75326_P12109,0.00058145786
P04156_P41222,0.00055913045
O15240,0.000536159
O14791_P02768,0.00052956026
P05060_Q9UBR2,0.0005291759
O75326,0.0005124744
P00441_P01023,0.0005010244
P20933_Q6UX71,0.0004997067
P01833_P13671,0.0004671038
P01008_P02790,0.00046332044
P00738_Q99969,0.00045602227
P00734_P01860,0.00045059502
P07711_Q9Y646,0.00045013955
P02747_P49908,0.00044109384
P01009_Q9UKV8,0.0004398598
P00734_P13611,0.00043279963
P04275_Q8N2S1,0.00041854853
P43652,0.000408381
P02655_Q99969,0.0004050188
P00736_Q9UBR2,0.00040272155
P02671_Q12907,0.00039754427
P02747,0.00039693018
P01860,0.0003910988
P01877_P13473,0.00039013004
O00584_P02649,0.00038382952
P01621_P32754,0.0003798689
P19823_P54289,0.00036383458
P02671_P05060,0.0003588035
P07998_P23083,0.0003519631
P05067_Q6UXB8,0.0003516648
P02652_Q9UBX5,0.00033194755
O15240_P14314,0.00032840323
P10645_P55290,0.00031920508
Q06481_Q15904,0.00031561847
P16070_Q92876,0.00031547536
P00738_P04004,0.00031175336
P08133_P16870,0.000310127
P09104_Q6UXD5,0.0003048209
P02790_Q99674,0.0003002022
O15394_Q15904,0.00029679478
P01008_P02679,0.00029613965
P01780_Q9UNU6,0.00029471045
P01344,0.00029324598
P01591_P16870,0.00028452638
P01877_Q96KN2,0.00028244223
O00391,0.0002812927
O75144,0.0002732873
P01594_P07333,0.00026336187
P01042_P09486,0.00026079844
O14773_P02647,0.0002532873
P08133_P09871,0.00025245716
P10645_Q92520,0.0002489339
Q12841,0.00024623357
P01344_P20933,0.0002439079
P00751_P19021,0.0002433299
P01861_Q13740,0.00023023791
P17936_Q9Y6R7,0.00022462811
P07998_Q9UBR2,0.0002213067
O15240_P00746,0.00021699713
Q7Z5P9_Q9UBX5,0.00021012963
P00747_P01033,0.0002099964
P01591_Q99674,0.00020640869
O00584_P09104,0.0002023184
P07333,0.00019855791
P13591_P80748,0.00019835246
P11277_Q14118,0.00018959084
P00746,0.00018788128
P05155_P51884,0.00018741425
P02749_P23083,0.0001869654
O00391_P55290,0.00018483117
P01621_Q96S96,0.00018226024
P02647_Q99829,0.00017761021
Q96S96,0.0001770969
P01024_P13611,0.00017267583
O00533_P01861,0.00016940999
P04211_P13591,0.00016856751
P27169_Q7Z3B1,0.0001616406
visit_month,0.00015583461
P01042_Q99683,0.00015241296
P00441,0.00015202246
P00734_P01621,0.00014658953
P01031_P04196,0.00014553149
P19652_P41222,0.00014471092
P01591_P02656,0.00014202476
P36980_Q06481,0.00014068521
P02787_Q96S96,0.00013925675
P01591_P80748,0.00013809108
P01591_P36955,0.00013780767
P02671,0.00013750987
P61769_Q12907,0.00013643259
P01717,0.00013155074
O00533,0.0001315066
P05546_Q13283,0.00012977488
P01591_Q9NYU2,0.00012814708
P05546_Q99829,0.00012680626
P02656_Q12907,0.00012376207
P02792_P32754,0.00012141365
P02792_Q99435,0.00012006629
O15240_P02766,0.00011778407
P11277_Q9HDC9,0.000115897274
P01042_Q9UKV8,0.00011538397
P00738_P02748,0.00011518094
P02765,0.00011321683
P24592_P31997,0.00011060299
P16152_Q13451,0.000110078145
P01019_P02751,0.000106021624
P07602_Q13449,0.00010590805
P04216_Q15904,0.000105754785
P07998_Q6UX71,0.00010402404
P01717_P60174,0.00010364912
P01024_P02656,0.000103069106
Q12907_Q562R1,9.595033e-05
P17936_Q7Z3B1,9.592036e-05
O00533_Q99829,9.3372735e-05
P08123_P09486,9.315045e-05
P00738_P01591,8.929438e-05
P00747_P08493,8.7091335e-05
P01780_P36955,8.6511944e-05
P01034_P02675,8.649477e-05
P00736,8.478366e-05
P02753_Q96S96,8.418809e-05
P00746_P36222,8.169276e-05
P04275_Q12841,8.145068e-05
P09486,8.1284605e-05
P05090_Q9BY67,7.752118e-05
P00738,7.736571e-05
P00751_P01024,7.6530356e-05
P04180_P24592,7.604781e-05
O14791,7.4718424e-05
P07858_Q13740,7.4119336e-05
P16152_Q99435,6.9914575e-05
P01877_P02452,6.740429e-05
P00738_P40925,6.740099e-05
P02452_P25311,6.602725e-05
P09871_P11277,6.5544096e-05
P16152_Q9BY67,6.4235945e-05
O00391_P02452,6.1606916e-05
P19652_Q99832,6.0458395e-05
P02760_P10645,5.9999616e-05
P01859_P23083,5.9965394e-05
P08294_P36980,5.9869675e-05
P07711_Q9NQ79,5.9811133e-05
P02753_Q99674,5.922412e-05
P01591_P06310,5.8051766e-05
