,0
P04180,0.010038713857668437
P02766_Q14515,0.005883418405203669
P43121,0.005225590595285918
P02753_P07339,0.005219049814853355
Q06481,0.003979438158591724
P02649_P06454,0.003701469434291348
P17174,0.0036442593513348947
P61916,0.003431099510105717
P02647_P31997,0.003117810029261084
P16152_P43121,0.003099257101759311
P36222_Q7Z5P9,0.002835024777482301
Q6UX71_Q9Y6R7,0.0027911981512627236
P01857_P01860,0.00278693251977401
P00734_Q6UXB8,0.002709289743046106
P16070_Q14515,0.0026412599570067295
P31997_Q9Y6R7,0.0025591606977446806
P01860_P04196,0.002493804198285328
P18065_Q14515,0.002464802018264113
P01860_P09104,0.0023719665308606715
P01877_P19827,0.0023571433518678785
P02766_P04433,0.0023547282600445774
P04275_Q14515,0.0022691393326665795
Q7Z5P9_Q9Y6R7,0.0021286346984843297
Q6UXB8_Q9Y6R7,0.0020571428094434104
P19827_Q16270,0.0019920210421844543
P14618_P80748,0.0019531794948717306
O00533_P16152,0.0018832973777779555
P13591_Q16270,0.001825473403936181
P25311_Q16270,0.0018252605868492896
P01008_P07339,0.0017814899834311965
P02792_P23083,0.0017645966568898943
P01860_P49588,0.0016971480089292318
P02753_Q16270,0.0016724059693536781
P04406_P05090,0.0016681224669051347
P08123_Q96BZ4,0.0016391836614451255
P01023_P36222,0.001618980930118313
P07339_P43121,0.0016047990229071571
P01608_P01717,0.0015700547463741413
P00747_Q9Y6R7,0.0015446543192755091
P04217_P04275,0.0015368189137436434
P10451_P10645,0.0015071577772962541
P04180_P80748,0.0014429000243703957
P00450_Q9UBR2,0.001420025561904864
P06454_Q99969,0.0013563129826470056
P19823_Q9UBR2,0.0013510264537415625
P01860_P08123,0.0013241905219513344
P01608_P19827,0.001322215443129526
P01860_P23083,0.0013069469086532078
O75144_P02649,0.0013057973294808402
P01876_Q14515,0.0013004998586706948
P16870,0.0012963831218560191
P01876_Q9NQ79,0.0012779227796133005
Q6UXB8,0.0012420628053021814
P10645,0.001237648547368084
P04275_P19823,0.0012221344796164645
O14791_P02768,0.001199497012279417
P02766_P08253,0.0011710099229357966
P01857_P01876,0.0011656906614416914
P06396_P31997,0.001162885179782026
O15240_P06454,0.0011623185395154445
P01042,0.0011596252262091491
P01024_P36222,0.0011520703805270793
P01594_P01877,0.001151883177159771
P02753,0.0011413141282704006
P02753_P23142,0.0011258126155058348
P00738_P04207,0.0011047150695917681
P16870_P23083,0.001096196423520013
P55290_Q99435,0.0010830037579682174
P01876_Q99969,0.0010818047408932218
P13987_Q9HDC9,0.0010770374877712013
P08123_P18065,0.0010632213406698435
P00450_P02647,0.001038483940483964
P01857_Q9UKV8,0.0010341264134842237
O75144_P43121,0.0010317162203621784
P01833_P02655,0.0010208611724967565
P19827_Q7Z5P9,0.0010114957394299863
P01860_P01861,0.0010104114824991675
P01860_Q02818,0.0010090322404731505
P10451_P16152,0.0009879955011994094
P09486_Q6UXB8,0.0009818791423933004
P01834_P02750,0.0009817129173562648
P25311_Q14515,0.0009762065123125613
P05067_Q6UX71,0.000973245248032962
P06454_P07195,0.0009698666095658687
O15394_P01857,0.0009583260484345124
P31997_Q99969,0.0009497233752039172
P02749_Q9Y6R7,0.000948052791480713
P02647_Q9UNU6,0.000947203528507091
P02452_P06454,0.0009432782414782629
Q16270_Q9UNU6,0.0009422200575282276
P02792_P24592,0.0009219703949859639
P18065_Q96PD5,0.0009180286373925097
Q8IWV7_Q9Y6R7,0.0009137602888478756
P16035_Q6UXD5,0.0009078390968407238
