,0
P02766_P05090,0.023303535
P13521,0.021274602
P04207_P08697,0.019461688
Q8IWV7_Q9NQ79,0.0193799
P13591_Q99674,0.018795539
P43652_Q99832,0.017191727
P02652_P04216,0.01586562
P54289_Q9BY67,0.0157399
Q13740_Q9NYU2,0.015103884
P13591_Q12841,0.014531086
P01591_P11277,0.014496264
P01857_P09871,0.014238735
P01860_P32754,0.0136113595
P05090_P36980,0.013453567
P06310_P61626,0.012839231
P02655_P10645,0.012132137
P14618_P16152,0.012121743
P00746_P02760,0.01189751
P02679_P80748,0.01129988
P36955_Q12805,0.010877236
P02655_P02656,0.010689607
P01717_P01834,0.010610349
P04433_Q02818,0.010495939
O14773_Q6UX71,0.010074019
O00391_Q12805,0.009491726
P00738_P02675,0.009424334
P02760_P25311,0.009367649
P01621_P06310,0.008581883
P17174,0.008517204
Q9BY67_Q9NYU2,0.008425296
O60888_P02748,0.008149901
P00751_P16035,0.00805395
Q9HDC9_Q9UBR2,0.007822897
P01859_Q96S96,0.007817196
P00738_P07711,0.0076695206
P01594_P05067,0.0075747403
P01608_Q99435,0.0072357454
O75144_P04406,0.0072103404
P01861_P11277,0.007137213
O43505_P10645,0.006807807
P07998_P61916,0.006739414
O15394_P04196,0.0066865194
P08571_P13473,0.006596715
P04217_P23083,0.006580101
P04216_P20933,0.006495763
O14773_P02792,0.0064796517
P07858_Q13332,0.0064475033
P00441_P02753,0.006047314
P07339_Q9NYU2,0.005407762
O15240_P02753,0.005315539
P55290_Q6UXB8,0.005277686
O14791_P04217,0.005261725
P01859_P02675,0.0051925657
P00751_P80748,0.0051340675
P01860_Q13740,0.0050294604
P09871_Q9HDC9,0.005013664
P06681_P13611,0.004882632
P05155_P43652,0.0048458115
P01011_P43652,0.004695724
P01780_P02655,0.0046927673
O14773_P61916,0.0046544196
P01877_Q92823,0.004648721
P01876_P02655,0.0046318723
P01860_Q96PD5,0.004596251
Q7Z3B1_Q96BZ4,0.0045717596
P07333_P08603,0.0045429496
P08603_P19823,0.00454173
P36222_Q96KN2,0.004444269
O14773_P02774,0.0044274605
P43251_Q99435,0.0042458996
P04211_P25311,0.004158522
P31997_Q13740,0.004144635
P01344_Q6UXB8,0.004053075
P04004_P16035,0.004049101
P23083_Q12841,0.0038987615
P01019_P36222,0.0035141073
P05060_P14618,0.0034232412
P19823_Q9UKV8,0.0034105838
P01877_P23142,0.0033776865
P06454_P24592,0.003362154
P36222_Q16270,0.0033072804
P01833_P01859,0.003294362
P07711_Q6UXB8,0.0032790196
P01608_P07195,0.0032574872
O00584_P02747,0.0032569296
P00748_P18065,0.00316657
P01019_P02774,0.0031442705
P02763_P06727,0.003131506
P02649_Q6UXB8,0.0030890214
P01608_P16152,0.0029519184
P09104_P60174,0.002903454
P00738_P01019,0.0028665096
P06454_P11277,0.0027832238
O00391_P08571,0.0027364055
P01608_P01857,0.0027035754
P01011_P01859,0.0026879671
P41222_P61769,0.0026742981
P01877_P05155,0.0026567483
P00450_Q13283,0.0026504106
P07858_P08123,0.0026381288
P02792_Q8NBJ4,0.002636824
P07998_Q6UXD5,0.0025718466
P07602_P19652,0.0024796573
P00736_P08603,0.0024629154
O00584_Q96KN2,0.0024409604
O14498_Q8N2S1,0.002405465
O75144_P00746,0.0024017226
P02675_P08294,0.0023904988
P01857_Q02818,0.0023542002
P02656_P04207,0.0023356287
P01009_P08571,0.0023311637
P08571_P10643,0.0022949767
P05060_P08493,0.0022869704
P01857_P31997,0.0022662776
P02649_P16152,0.0022406469
P08571_P32754,0.0022379307
P01857_P23142,0.002203953
P01833_P08294,0.002192319
P01877_P06727,0.0021677169
O00584_Q6UX71,0.0021461716
P04180_P36955,0.0021339406
P00450_P32754,0.002093396
P01608_P02790,0.0020880257
O00533_P36222,0.0020868198
P01861_P24592,0.0020577987
O14773_Q96PD5,0.002046574
P08253_P19827,0.0020063738
P01833_P07711,0.001988051
P10643_P35542,0.0019741226
P32754_Q9Y646,0.0019652073
P13671_Q9NYU2,0.001943869
P01859_P14618,0.0019338675
P10451_P11277,0.0019214303
P02792_P04433,0.0019210393
P01834_Q13449,0.0018780946
P07333_P27169,0.001867687
P01717_P19652,0.0018438842
P16152_Q06481,0.0017928228
O14773_P02753,0.0017462109
P02675,0.0017407498
P01011_Q13332,0.0017122993
P08571_Q99674,0.0017060566
P07998_Q12841,0.0016804818
P02656_P09871,0.0016693176
P02747_Q99829,0.0016645716
P02748_P13611,0.0016464132
