,0
P00734_P02787,1
P23083_P31997,1
P02647_Q9HDC9,1
P00734_P00738,1
P08637_P19827,1
P02647_Q8NBJ4,1
P02649_P08294,1
P00450_P61916,1
P02649_P08571,1
P00450_Q96S96,1
P02647_Q8N2S1,1
P00450_Q92876,1
P05156_Q13332,1
P00450_Q14508,1
P00734_P07711,1
P00450_Q14118,1
P00450_Q13451,1
P02649_P17936,1
P20933_P31997,1
P35542_P51884,1
P20774_Q562R1,1
P00441_P05067,1
P24592_P36222,1
P02652_P17936,1
P02652_P19823,1
P25311_P36980,1
P19827_Q12841,1
P00736_P01857,1
P25311_P41222,1
P02647_P02750,1
P05155_P16152,1
P00441_Q02818,1
P05155_P14618,1
P00441_P55290,1
P00736_P02656,1
P00441_P43121,1
P00441_P39060,1
P05452_P32754,1
P25311_Q14624,1
P02652_Q13451,1
P25311_Q8NE71,1
P00441_P14174,1
P00441_P13521,1
P00441_P08123,1
P19827_P36980,1
P00441_P07858,1
P00441_P07711,1
P27169_P36955,1
P00441_Q15904,1
P05452_P18065,1
P19827_Q13740,1
P00734_Q02818,1
P05408_Q14624,1
P05155_Q92876,1
P05408_Q6UX71,1
P02652_P05156,1
P24592_Q12841,1
P05408_Q92520,1
P20774_P61916,1
P24592_Q13283,1
P00450_P01023,1
P24592_Q13449,1
P02652_P07711,1
P20774_P54289,1
P19827_Q8N2S1,1
P00734_Q14624,1
P05155_P80748,1
P00441_Q9BY67,1
P24592_Q99674,1
P00734_Q7Z3B1,1
P24592_Q99832,1
P05452_P06310,1
P24592_Q9UKV8,1
P02647_P07711,1
P00441_Q562R1,1
P25311_P27169,1
P05155_Q96S96,1
P36955_Q14515,1
O75326_P49588,1
P04211_P23142,1
P04211_Q8IWV7,1
P04211_Q16610,1
P60174_Q6UXB8,1
O15240_Q8IWV7,1
O15240_Q7Z3B1,1
P02749_P07333,1
P02749_P07858,1
P04211_P80748,1
P02749_P08493,1
P02749_P09871,1
O15240_P98160,1
P61278_P61916,1
O15240_P60174,1
P02749_P16152,1
O15240_P30086,1
P04211_Q96BZ4,1
P61278_Q6UXB8,1
