,0
Q8N2S1_Q9Y6R7,0.03067897
P02790_P23083,0.029804884
O15240_Q6UXB8,0.02346891
P00751_P02766,0.022861626
P16152_P43121,0.016902592
P08294_P12109,0.01533985
P80748_Q9Y6R7,0.014671397
P00748_P01031,0.014397067
P31997_Q9Y6R7,0.013702519
P01860_P02787,0.01356367
P04180,0.0127457855
O60888_P07333,0.012321323
P43121_Q9Y6R7,0.0114367595
P01834_P02671,0.01110009
P13591_Q16270,0.010995537
P02766_P04075,0.0107005285
P01011_Q96PD5,0.010694572
P01834_Q9Y6R7,0.010235189
Q6UX71_Q7Z3B1,0.010128214
P01876_P05090,0.009975042
Q06481_Q9Y646,0.009818875
P19823_Q9UBR2,0.009721617
O75326_P20933,0.009347062
P07711_P98160,0.009338875
P61916_Q92520,0.008742295
P16870_P41222,0.008708615
P08697_Q12841,0.008518434
P51884_Q9NQ79,0.008478137
Q8N2S1_Q99969,0.008369777
P00450_P04075,0.008218345
P04211_P04216,0.007909382
P01011_Q16610,0.0078762695
P01717_Q9NQ79,0.0077626393
P02768_P06727,0.007671184
O75144_P00450,0.0074979877
P00736_Q8N2S1,0.007201682
P01860_P16070,0.007117002
P25311_P32754,0.0071002566
P02753_Q16270,0.006988558
P00450_P02649,0.0064953556
P02675_P16070,0.0063222754
P04433_P09486,0.006305839
O00391_P08603,0.006144706
P02649_Q9Y646,0.0061298553
P07333_P23083,0.006047791
P08637_Q99829,0.005975508
P01591_P02748,0.0059682312
P01031_P10643,0.0058979904
P01033_Q8NE71,0.005838051
P02753,0.00570309
P05090_P07602,0.005535773
P01608_Q92823,0.0053535653
P02792_P07195,0.0053208647
P01344_P13521,0.005106968
P01857_P20774,0.0051058847
P02774_P32754,0.0049553793
Q7Z5P9_Q99435,0.004938653
P06310_Q92823,0.0048800088
P08493_P32754,0.0048631174
O60888_Q99435,0.0047324193
O14773_Q9UHG2,0.004710733
P00746_Q9Y6R7,0.004673967
P06454_P61769,0.004614278
P49908_Q9UNU6,0.004430781
P02792_Q14515,0.004429595
P01861_P02656,0.0042848266
P13671_P36955,0.004199172
P61916,0.0041675773
