,0
P02649_P02787,0.032771755
P04180,0.025901807
P04211_P14174,0.025161894
P43121,0.024741765
P01857_Q06481,0.019321492
Q8N2S1_Q9Y6R7,0.018816186
P05067_P36955,0.01845054
P02656_P19021,0.017567933
P04211_Q13451,0.01699706
P02753_P04156,0.014835639
P01876_P02656,0.014406661
P19021_Q13332,0.014298278
O75144_Q92876,0.012986411
P04004_P16070,0.012907848
P02766_Q96BZ4,0.011703782
P01857_Q96S96,0.010962023
O14773_P04207,0.010677939
P01608_P10451,0.010677393
P08294_Q92876,0.010351428
P01042_P10451,0.010295916
P02647_P31997,0.010289958
P01591_P02649,0.009361154
P00748_P04211,0.00909264
P01608_P36222,0.009088092
P13611_P20933,0.008939157
O60888_P02790,0.008638601
P09486_Q12841,0.008369648
P01877_P14174,0.0082620345
P01591_Q6UXD5,0.007992986
P10451_P60174,0.007674822
P02790_P23083,0.007511956
P01860_Q99969,0.007260784
P01859_Q7Z3B1,0.0070577078
Q6UX71_Q9Y6R7,0.0068115
P02790_P06727,0.0067881187
Q06481,0.0067366813
O15240_P00441,0.0066481736
P01608_Q8IWV7,0.0065559046
P01834_P43652,0.0065256404
P04211_P61916,0.0064792926
P00746_Q99829,0.0063375323
P02656,0.006253706
O94919_P04180,0.0062378827
O15240_P00747,0.0059752464
P04196_Q99435,0.005855886
O15394_P01024,0.0057118507
P13591_P36222,0.0056795636
P23083_Q96KN2,0.0056754206
P06681_Q02818,0.00560785
P00734_P20933,0.005545082
O15394_P08294,0.005536968
P43251_Q9Y6R7,0.005304896
P04275_P43251,0.0052056536
P20774_Q15904,0.005174557
O14773_P09486,0.0050640926
Q8N2S1_Q99829,0.0049865725
O15394_P05090,0.0049573756
P16070_P31997,0.004692078
P02753_P20933,0.0046505127
P01608_Q99435,0.004549603
P02452_P05546,0.004330257
P01621_P01876,0.004216188
O15394_P00751,0.0041633127
P02652_P19823,0.004119618
P04180_P08253,0.0039776205
P08294_P24592,0.0039718896
O00391_P06681,0.0039377525
P01877_P98160,0.0038497846
P00746_P13671,0.0038299116
P25311_Q92520,0.0037932408
P01833_P16035,0.003781758
P20774_Q9Y646,0.0037437982
P02748_P13591,0.003705457
Q12841_Q562R1,0.003659149
P02656_P43121,0.0036195281
P04406_Q9NQ79,0.0035399408
P01591_P16035,0.003495788
