Model,Target,SMAPE,R2,MAPE,MAE
rf_reg,updrs_1,51.56,0.6139053173246709,1066888538789729.9,2.4992326150122754
rf_reg,updrs_2,79.36,0.6296109730248066,3642275863793516.5,2.810415100021509
rf_reg,updrs_3,71.56,0.6394353517501529,7876568086528877.0,7.334897450270088
rf_reg,updrs_4,137.4,0.5617147378308254,3535162437924612.5,1.5506175142215604
